City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
362,Maku,IR,76.05,clear sky,39.2911,44.4521,Maku Tourist Hotel
363,Yanam,IN,88.74,overcast clouds,16.7333,82.2167,The Regency Hotel
364,Arlit,NE,87.57,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
365,Mitsamiouli,KM,66.49,few clouds,-11.3847,43.2844,Foyer ADM
372,Uribia,CO,81.27,overcast clouds,11.7139,-72.266,Hotel Uribia
374,Wattegama,LK,80.01,overcast clouds,6.7989,81.4808,
375,Yarada,IN,88.12,haze,17.65,83.2667,Yarada Jungle Beach Resorts
376,Asifabad,IN,85.78,overcast clouds,19.3667,79.2833,సిడం కైలాష్
377,Masuguru,TZ,67.73,scattered clouds,-11.3667,38.4167,
379,Rapar,IN,83.03,overcast clouds,23.5667,70.6333,Dharamshi Bapa’s Home
384,Shahr-E Babak,IR,78.64,clear sky,30.1165,55.1186,سلاطین مس و نقره
386,Khandbari,NP,71.42,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
389,Poltavka,RU,66.79,broken clouds,54.3663,71.7632,
392,Sakakah,SA,85.57,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
394,Birigui,BR,68.29,clear sky,-21.2886,-50.34,Apoio Alojamentos
395,Sambava,MG,68.4,light rain,-14.2667,50.1667,Melrose
397,Kursavka,RU,72.07,clear sky,44.4564,42.5093,Dom Otdykha
401,Cabinda,AO,67.82,few clouds,-5.55,12.2,Hotel Maiombe
402,Somotillo,NI,78.66,scattered clouds,13.0433,-86.9064,Las Lomas Somotillo
403,Mitu,CO,71.64,light rain,1.1983,-70.1733,
406,Gamba,GA,71.55,overcast clouds,-2.65,10.0,
408,Ust-Kan,RU,66.65,broken clouds,50.9276,84.761,Mini-hotel na Leninskoy
409,Fez,MA,75.45,clear sky,34.0372,-4.9998,Hotel Mounia Fès
411,Takoradi,GH,72.34,scattered clouds,4.8845,-1.7554,Raybow International Hotel
412,Tema,GH,72.0,few clouds,5.667,-0.0166,Beulah Royale Hotel Tema
413,Medea,DZ,67.86,clear sky,36.2642,2.7539,Hôtel M'Sallah
417,Bud,US,80.58,clear sky,39.447,-86.1758,Ted McQuinn Trust
420,Quatre Cocos,MU,68.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
421,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
422,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
